region	tags	indicator	Всего (сумма гр.4, 6, 8, 10, 12, 14, 16, 18, 20, 22) / 3	Число полных лет по состоянию на 1 января следующего года / моложе 25 лет / всего / 4	Число полных лет по состоянию на 1 января следующего года / моложе 25 лет / из них жен-щины / 5	Число полных лет по состоянию на 1 января следующего года / 25 - 29 / всего / 6	Число полных лет по состоянию на 1 января следующего года / 25 - 29 / из них жен-щины / 7	Число полных лет по состоянию на 1 января следующего года / 30 - 34 / всего / 8	Число полных лет по состоянию на 1 января следующего года / 30 - 34 / из них жен-щины / 9	Число полных лет по состоянию на 1 января следующего года / 35 - 39 / всего / 10	Число полных лет по состоянию на 1 января следующего года / 35 - 39 / из них жен-щины / 11	Число полных лет по состоянию на 1 января следующего года / 40 - 44 / всего / 12	Число полных лет по состоянию на 1 января следующего года / 40 - 44 / из них жен-щины / 13	Число полных лет по состоянию на 1 января следующего года / 45 - 49 / всего / 14	Число полных лет по состоянию на 1 января следующего года / 45 - 49 / из них жен-щины / 15	Число полных лет по состоянию на 1 января следующего года / 50 - 54 / всего / 16	Число полных лет по состоянию на 1 января следующего года / 50 - 54 / из них жен-щины / 17	Число полных лет по состоянию на 1 января следующего года / 55 - 59 / всего / 18	Число полных лет по состоянию на 1 января следующего года / 55 - 59 / из них жен-щины / 19	Число полных лет по состоянию на 1 января следующего года / 60 - 64 / всего / 20	Число полных лет по состоянию на 1 января следующего года / 60 - 64 / из них жен-щины / 21	Число полных лет по состоянию на 1 января следующего года / 65 и более / всего / 22	Число полных лет по состоянию на 1 января следующего года / 65 и более / из них жен-щины / 23
Амурская область	персонал; Государственные, Муниципальные	Учебно-вспомогательный персонал / 05	14.0	0.0	0.0	3.0	1.0	0.0	0.0	3.0	2.0	2.0	1.0	3.0	3.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	в том числе:  руководители служб и подразделений в сфере  информационно-коммуникационных технологий / 07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	графические и мультимедийные дизайнеры / 12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	из них осуществляющие образовательную деятельность  по образовательным программам высшего образования -  программам бакалавриата, программам специалитета,  программам магистратуры / 02	64.0	0.0	0.0	6.0	3.0	4.0	2.0	6.0	3.0	14.0	9.0	16.0	12.0	9.0	6.0	1.0	1.0	4.0	2.0	4.0	1.0
Амурская область	персонал; Государственные, Муниципальные	инженеры по телекоммуникациям / 11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	инженеры-электроники / 10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	квалифицированные рабочие: монтажники и ремонтники электронного и  телекоммуникационного оборудования / 16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	специалисты высшего уровня квалификации: разработчики и аналитики программного  обеспечения и приложений / 08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	специалисты по базам данных и сетям / 09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	специалисты среднего уровня квалификации:  специалисты-техники по эксплуатации ИКТ и  по поддержке пользователей ИКТ / 13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	специалисты-техники по телекоммуникациям и  радиовещанию / 14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	техники-электроники / 15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	Инженерно-технический персонал / 04	7.0	0.0	0.0	1.0	0.0	3.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	Научные работники / 03	48.0	3.0	1.0	11.0	6.0	9.0	4.0	7.0	3.0	2.0	2.0	8.0	5.0	3.0	3.0	1.0	0.0	2.0	1.0	2.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	Профессорско-преподавательский состав / 01	199.0	0.0	0.0	10.0	4.0	14.0	8.0	30.0	10.0	41.0	20.0	35.0	17.0	25.0	15.0	16.0	9.0	14.0	6.0	14.0	5.0
Архангельская область	персонал; Государственные, Муниципальные	Специалисты по информационным и коммуникационным технологиям – всего (сумма строк 07 - 16) / 06	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	Учебно-вспомогательный персонал / 05	37.0	8.0	3.0	9.0	3.0	5.0	3.0	1.0	0.0	2.0	2.0	4.0	4.0	4.0	4.0	2.0	2.0	0.0	0.0	2.0	2.0
Архангельская область	персонал; Государственные, Муниципальные	в том числе:  руководители служб и подразделений в сфере  информационно-коммуникационных технологий / 07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	графические и мультимедийные дизайнеры / 12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	из них осуществляющие образовательную деятельность  по образовательным программам высшего образования -  программам бакалавриата, программам специалитета,  программам магистратуры / 02	199.0	0.0	0.0	10.0	4.0	14.0	8.0	30.0	10.0	41.0	20.0	35.0	17.0	25.0	15.0	16.0	9.0	14.0	6.0	14.0	5.0
Архангельская область	персонал; Государственные, Муниципальные	инженеры по телекоммуникациям / 11	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	инженеры-электроники / 10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	квалифицированные рабочие: монтажники и ремонтники электронного и  телекоммуникационного оборудования / 16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	специалисты высшего уровня квалификации: разработчики и аналитики программного  обеспечения и приложений / 08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	специалисты по базам данных и сетям / 09	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	специалисты среднего уровня квалификации:  специалисты-техники по эксплуатации ИКТ и  по поддержке пользователей ИКТ / 13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	специалисты-техники по телекоммуникациям и  радиовещанию / 14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	техники-электроники / 15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Частные	Инженерно-технический персонал / 04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Частные	Научные работники / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Частные	Профессорско-преподавательский состав / 01	15.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0	1.0	1.0	1.0	2.0	1.0	1.0	0.0	2.0	1.0	1.0	0.0
Архангельская область	персонал; Частные	Специалисты по информационным и коммуникационным технологиям – всего (сумма строк 07 - 16) / 06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Частные	Учебно-вспомогательный персонал / 05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Частные	в том числе:  руководители служб и подразделений в сфере  информационно-коммуникационных технологий / 07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Частные	графические и мультимедийные дизайнеры / 12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Частные	из них осуществляющие образовательную деятельность  по образовательным программам высшего образования -  программам бакалавриата, программам специалитета,  программам магистратуры / 02	15.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0	1.0	1.0	1.0	2.0	1.0	1.0	0.0	2.0	1.0	1.0	0.0
Архангельская область	персонал; Частные	инженеры по телекоммуникациям / 11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Частные	инженеры-электроники / 10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Частные	квалифицированные рабочие: монтажники и ремонтники электронного и  телекоммуникационного оборудования / 16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Частные	специалисты высшего уровня квалификации: разработчики и аналитики программного  обеспечения и приложений / 08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Частные	специалисты по базам данных и сетям / 09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Частные	специалисты среднего уровня квалификации:  специалисты-техники по эксплуатации ИКТ и  по поддержке пользователей ИКТ / 13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Частные	специалисты-техники по телекоммуникациям и  радиовещанию / 14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Частные	техники-электроники / 15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	персонал; Государственные, Муниципальные	Инженерно-технический персонал / 04	13.0	1.0	0.0	1.0	0.0	4.0	2.0	3.0	0.0	2.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	персонал; Государственные, Муниципальные	Научные работники / 03	25.0	0.0	0.0	3.0	1.0	4.0	2.0	2.0	0.0	6.0	3.0	3.0	2.0	0.0	0.0	2.0	1.0	3.0	2.0	2.0	2.0
Астраханская область	персонал; Государственные, Муниципальные	Профессорско-преподавательский состав / 01	542.0	4.0	0.0	22.0	10.0	45.0	23.0	79.0	32.0	81.0	38.0	88.0	47.0	71.0	37.0	47.0	26.0	57.0	21.0	48.0	17.0
Астраханская область	персонал; Государственные, Муниципальные	Специалисты по информационным и коммуникационным технологиям – всего (сумма строк 07 - 16) / 06	6.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
Астраханская область	персонал; Государственные, Муниципальные	Учебно-вспомогательный персонал / 05	45.0	3.0	2.0	6.0	4.0	8.0	7.0	5.0	4.0	3.0	3.0	4.0	4.0	6.0	5.0	5.0	5.0	2.0	1.0	3.0	2.0
Астраханская область	персонал; Государственные, Муниципальные	в том числе:  руководители служб и подразделений в сфере  информационно-коммуникационных технологий / 07	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	персонал; Государственные, Муниципальные	графические и мультимедийные дизайнеры / 12	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	персонал; Государственные, Муниципальные	из них осуществляющие образовательную деятельность  по образовательным программам высшего образования -  программам бакалавриата, программам специалитета,  программам магистратуры / 02	542.0	4.0	0.0	22.0	10.0	45.0	23.0	79.0	32.0	81.0	38.0	88.0	47.0	71.0	37.0	47.0	26.0	57.0	21.0	48.0	17.0
