region	tags	indicator	Программы подготовки квалифицированных рабочих, служащих > на базе основного общего образования > обучение за счет бюджетных ассигнований > подано заявлений > 11.0	Программы подготовки квалифицированных рабочих, служащих > на базе основного общего образования > обучение за счет бюджетных ассигнований > принято > 12.0	Программы подготовки квалифицированных рабочих, служащих > на базе основного общего образования > обучение по договорам об оказании платных образовательных услуг > подано заявлений > 13.0	Программы подготовки квалифицированных рабочих, служащих > на базе основного общего образования > обучение по договорам об оказании платных образовательных услуг > принято > 14.0	Программы подготовки квалифицированных рабочих, служащих > на базе среднего общего образования > обучение за счет бюджетных ассигнований > подано заявлений > 15.0	Программы подготовки квалифицированных рабочих, служащих > на базе среднего общего образования > обучение за счет бюджетных ассигнований > принято > 16.0	Программы подготовки квалифицированных рабочих, служащих > на базе среднего общего образования > обучение по договорам об оказании платных образовательных услуг > подано заявлений > 17.0	Программы подготовки квалифицированных рабочих, служащих > на базе среднего общего образования > обучение по договорам об оказании платных образовательных услуг > принято > 18.0	Программы подготовки специалистов среднего звена > на базе основного общего образования > обучение за счет бюджетных ассигнований > подано заявлений > 3.0	Программы подготовки специалистов среднего звена > на базе основного общего образования > обучение за счет бюджетных ассигнований > принято > 4.0	Программы подготовки специалистов среднего звена > на базе основного общего образования > обучение по договорам об оказании платных образовательных услуг > подано заявлений > 5.0	Программы подготовки специалистов среднего звена > на базе основного общего образования > обучение по договорам об оказании платных образовательных услуг > принято > 6.0	Программы подготовки специалистов среднего звена > на базе среднего общего образования > обучение за счет бюджетных ассигнований > подано заявлений > 7.0	Программы подготовки специалистов среднего звена > на базе среднего общего образования > обучение за счет бюджетных ассигнований > принято > 8.0	Программы подготовки специалистов среднего звена > на базе среднего общего образования > обучение по договорам об оказании платных образовательных услуг > подано заявлений > 9.0	Программы подготовки специалистов среднего звена > на базе среднего общего образования > обучение по договорам об оказании платных образовательных услуг > принято > 10.0
Республика Ингушетия	Частные; Очная	"    высшего, подтвержденного дипломом: 
       бакалавра / 12.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Республика Ингушетия	Частные; Очная	"    среднего профессионального по программам подготовки
    квалифицированных рабочих, служащих / 8.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Республика Ингушетия	Частные; Очная	"    среднего профессионального по программам подготовки
    специалистов среднего звена / 10.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	14
Республика Ингушетия	Частные; Очная	Всего (сумма стр. 02, 08, 10, 12, 14, 16) / 1.0	0	0	0	0	0	0	100	100	0	0	1020	1014	0	0	241	237
Республика Ингушетия	Частные; Очно-заочная	"                из них отдельных общеобразовательных организаций,
                осуществляющих обучение по адаптированным 
                основным общеобразовательным программам / 5.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Республика Ингушетия	Частные; Очно-заочная	"            других организаций, осуществляющих образователь-
            ную деятельность по программам основного и (или)
            среднего общего образования / 7.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Республика Ингушетия	Частные; Очно-заочная	"            из строки 03 - выпускники: 
            общеобразовательных организаций / 4.0"	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0
Республика Ингушетия	Частные; Очно-заочная	"            специальных учебно-воспитательных учреждений для
            обучающихся с девиантным (общественно-опасным)
            поведением / 6.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Республика Ингушетия	Частные; Очно-заочная	"           из них полученного за период с 1 октября прошлого
           года по 30 сентября текущего года / 13.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Республика Ингушетия	Частные; Очно-заочная	"           из них полученного за период с 1 октября прошлого
           года по 30 сентября текущего года / 15.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Республика Ингушетия	Частные; Очно-заочная	"           из них полученного за период с 1 октября прошлого
           года по 30 сентября текущего года / 17.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Республика Ингушетия	Частные; Очно-заочная	"         из них полученного за период с 1 октября прошлого года
         по 30 сентября текущего года (сумма стр. 04, 06, 07) / 3.0"	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0
